episode,timestep,reward
6,4000,-91.1029
17,8000,-103.2828
21,12000,-95.3297
27,16000,-141.6966
31,20000,-123.077
34,24000,-97.0345
39,28000,-103.9656
41,32000,-120.1178
47,36000,-131.6285
52,40000,-99.9834
54,44000,-64.4946
59,48000,-86.81
67,52000,-91.8474
71,56000,-101.3647
76,60000,-103.5695
81,64000,-79.5137
84,68000,-89.9051
88,72000,-87.1032
90,76000,-103.2281
94,80000,-86.6352
100,84000,-97.2297
102,88000,-65.2938
105,92000,-87.4723
108,96000,-79.9211
123,100000,-99.9755
138,104000,-103.9691
148,108000,-93.9203
157,112000,-94.9571
160,116000,-105.4077
164,120000,-73.1782
166,124000,-65.0634
170,128000,-107.5263
177,132000,-84.5895
181,136000,-80.2649
185,140000,-88.0319
189,144000,-86.5392
195,148000,-83.5665
197,152000,-64.249
200,156000,-77.9691
203,160000,-66.6785
205,164000,-65.3981
208,168000,-94.6803
211,172000,-95.1514
214,176000,-151.4264
216,180000,-111.6008
219,184000,-73.3473
222,188000,-148.6921
224,192000,-65.9567
227,196000,-65.1744
229,200000,-72.8365
232,204000,-64.1509
234,208000,-71.0415
237,212000,-74.0489
239,216000,-72.022
242,220000,-98.1208
245,224000,-115.6683
248,228000,-91.5733
251,232000,-100.2815
255,236000,-113.3193
261,240000,-99.9688
266,244000,-115.6827
270,248000,-96.941
273,252000,-85.6992
278,256000,-99.7469
281,260000,-103.3541
283,264000,-71.8674
286,268000,-78.0992
288,272000,-76.0841
291,276000,-76.3054
294,280000,-137.1724
298,284000,-84.108
300,288000,-127.8162
303,292000,-77.2015
305,296000,-75.4603
309,300000,-103.5285
311,304000,-76.5189
314,308000,-108.2531
316,312000,-74.7112
319,316000,-80.6825
322,320000,-96.8092
325,324000,-112.4913
327,328000,-77.6232
331,332000,-106.1195
333,336000,-107.5399
337,340000,-101.3979
340,344000,-115.5477
343,348000,-67.7473
346,352000,-98.6244
349,356000,-69.5742
353,360000,-116.5476
355,364000,-73.2744
358,368000,-70.5614
363,372000,-105.9041
366,376000,-77.5662
368,380000,-81.9584
371,384000,-104.2135
374,388000,-116.35
377,392000,-78.1522
380,396000,-122.3152
382,400000,-75.6984
385,404000,-93.4982
389,408000,-111.2123
392,412000,-93.1958
394,416000,-70.3653
397,420000,-64.5003
400,424000,-88.0297
404,428000,-110.5357
407,432000,-112.4993
411,436000,-93.0643
415,440000,-86.4929
418,444000,-88.3295
420,448000,-72.8128
423,452000,-89.1562
426,456000,-68.7826
428,460000,-69.7697
431,464000,-75.4073
434,468000,-95.4593
437,472000,-84.1483
439,476000,-78.7483
443,480000,-98.5792
447,484000,-109.1944
450,488000,-70.6998
453,492000,-105.2856
456,496000,-83.9942
458,500000,-114.9105
461,504000,-73.867
465,508000,-99.3089
469,512000,-91.8222
474,516000,-108.9177
479,520000,-101.5197
481,524000,-79.27
484,528000,-71.4811
487,532000,-99.0853
490,536000,-89.7616
493,540000,-95.6826
496,544000,-97.6991
499,548000,-89.2848
502,552000,-94.6779
504,556000,-76.8236
507,560000,-87.1416
511,564000,-100.843
514,568000,-107.1173
518,572000,-104.7201
520,576000,-125.3978
523,580000,-72.4428
525,584000,-73.8993
528,588000,-68.6237
530,592000,-68.6357
533,596000,-85.7121
537,600000,-93.1382
540,604000,-76.6139
543,608000,-59.6416
545,612000,-72.9212
548,616000,-68.0623
551,620000,-85.828
555,624000,-100.0748
558,628000,-86.638
562,632000,-79.1936
564,636000,-74.2213
567,640000,-99.5414
569,644000,-62.8039
572,648000,-82.6308
575,652000,-89.1812
579,656000,-90.2881
583,660000,-106.0225
586,664000,-66.2172
589,668000,-98.6192
592,672000,-88.4197
595,676000,-80.5448
598,680000,-72.0252
600,684000,-76.8002
604,688000,-98.5942
606,692000,-68.0088
611,696000,-92.8452
613,700000,-86.1406
617,704000,-83.8926
621,708000,-83.2714
625,712000,-115.7245
629,716000,-83.3762
632,720000,-69.9689
636,724000,-111.1201
638,728000,-76.366
641,732000,-54.6778
644,736000,-112.2468
647,740000,-71.016
649,744000,-55.425
652,748000,-87.7299
655,752000,-79.1063
660,756000,-72.0602
663,760000,-96.9244
666,764000,-110.631
669,768000,-117.2002
673,772000,-66.8338
676,776000,-80.7135
681,780000,-87.5693
684,784000,-90.7858
688,788000,-100.5154
692,792000,-114.519
695,796000,-96.3049
697,800000,-74.9933
701,804000,-88.0073
703,808000,-41.8589
709,812000,-104.9306
711,816000,-55.5544
716,820000,-103.3391
721,824000,-88.5133
725,828000,-78.8587
727,832000,-71.7437
730,836000,-85.8228
733,840000,-65.2739
738,844000,-98.1917
742,848000,-102.0628
747,852000,-87.3335
751,856000,-83.6515
756,860000,-86.8862
763,864000,-95.9551
766,868000,-99.0576
769,872000,-121.9533
771,876000,-121.9633
774,880000,-54.0014
778,884000,-83.4381
782,888000,-81.3441
786,892000,-81.4374
789,896000,-82.7647
793,900000,-111.3043
798,904000,-100.6502
803,908000,-92.6794
805,912000,-48.7179
810,916000,-113.1912
814,920000,-98.898
816,924000,-70.8021
819,928000,-87.7272
824,932000,-95.4201
828,936000,-96.6441
833,940000,-86.617
836,944000,-91.221
839,948000,-64.3486
841,952000,-40.8926
845,956000,-86.8073
848,960000,-58.1997
851,964000,-114.3605
857,968000,-88.0237
862,972000,-110.9178
865,976000,-81.4899
869,980000,-72.0149
872,984000,-87.9417
875,988000,-103.5293
878,992000,-69.919
881,996000,-100.4143
883,1000000,-58.685
886,1004000,-72.3032
891,1008000,-112.6999
893,1012000,-122.6873
897,1016000,-129.8095
899,1020000,-54.1092
905,1024000,-65.0104
909,1028000,-77.6739
913,1032000,-97.0984
915,1036000,-102.206
919,1040000,-91.0702
922,1044000,-83.1932
924,1048000,-86.9937
927,1052000,-9.9504
930,1056000,-102.3733
935,1060000,-78.7926
938,1064000,-56.8733
942,1068000,-78.6616
945,1072000,-81.8743
948,1076000,-74.2072
952,1080000,-113.5109
955,1084000,-81.6039
958,1088000,-50.5916
962,1092000,-73.8252
964,1096000,-32.194
968,1100000,-101.2633
971,1104000,-42.6039
975,1108000,-101.0487
980,1112000,-90.2142
983,1116000,-58.8305
986,1120000,-124.8188
989,1124000,-62.8543
994,1128000,-51.5943
999,1132000,-89.7248
1001,1136000,-91.8444
1004,1140000,-58.4936
1006,1144000,-154.2577
1009,1148000,-83.6379
1012,1152000,-78.0481
1015,1156000,-81.8428
1018,1160000,-72.9943
1024,1164000,-98.7464
1027,1168000,-87.4768
1033,1172000,-102.9509
1036,1176000,-96.9011
1038,1180000,-87.947
1042,1184000,-109.306
1044,1188000,-61.1757
1048,1192000,-80.1979
1050,1196000,-53.0224
1054,1200000,-75.7534
1058,1204000,-82.429
1062,1208000,-91.214
1064,1212000,-50.4734
1069,1216000,-110.5231
1074,1220000,-98.8988
1081,1224000,-86.2835
1087,1228000,-88.0834
1095,1232000,-106.7789
1102,1236000,-102.6181
1105,1240000,-59.4518
1109,1244000,-114.4312
1112,1248000,-111.1894
1117,1252000,-85.099
1120,1256000,-85.0081
1124,1260000,-111.8856
1129,1264000,-88.0093
1132,1268000,-132.0209
1137,1272000,-97.518
1140,1276000,-62.9496
1143,1280000,-48.6449
1146,1284000,-81.3853
1149,1288000,-82.5229
1153,1292000,-69.331
1156,1296000,-52.5529
1163,1300000,-82.6637
1169,1304000,-111.7045
1175,1308000,-92.4761
1180,1312000,-94.5474
1186,1316000,-88.6931
1194,1320000,-100.9632
1199,1324000,-90.657
1203,1328000,-74.096
1205,1332000,-98.0503
1212,1336000,-94.8963
1215,1340000,-118.3234
1219,1344000,-80.9303
1222,1348000,-57.8394
1227,1352000,-76.4334
1230,1356000,-82.724
1235,1360000,-93.8756
1239,1364000,-93.9954
1243,1368000,-89.8109
1247,1372000,-93.3482
1250,1376000,-62.9426
1255,1380000,-81.8754
1258,1384000,-64.5037
1261,1388000,-71.3845
1267,1392000,-83.3279
1272,1396000,-108.2149
1275,1400000,-61.4016
1280,1404000,-110.1391
1283,1408000,-93.1776
1287,1412000,-89.9364
1292,1416000,-84.2425
1297,1420000,-86.9735
1300,1424000,-39.18
1302,1428000,-33.001
1306,1432000,-88.705
1311,1436000,-94.6671
1316,1440000,-86.8832
1319,1444000,-74.8477
1324,1448000,-70.9874
1327,1452000,-86.0496
1329,1456000,-53.8481
1334,1460000,-94.1114
1338,1464000,-60.846
1343,1468000,-72.3439
1349,1472000,-54.6311
1352,1476000,-97.5749
1357,1480000,-92.5289
1361,1484000,-68.6851
1364,1488000,-91.3808
1367,1492000,-61.5184
1370,1496000,-61.8317
1373,1500000,-61.0311
1376,1504000,-94.0638
1381,1508000,-91.2249
1386,1512000,-95.4071
1390,1516000,-100.5639
1393,1520000,-93.4128
1396,1524000,-65.1632
1401,1528000,-93.9832
1404,1532000,-118.206
1408,1536000,-89.8944
1412,1540000,-103.5723
1416,1544000,-48.6021
1420,1548000,-55.6469
1424,1552000,-87.6547
1428,1556000,-77.1845
1431,1560000,-42.2431
1440,1564000,-95.9368
1442,1568000,-53.237
1445,1572000,-103.0877
1449,1576000,-72.4325
1453,1580000,-39.1202
1457,1584000,-74.3021
1460,1588000,-109.17
1465,1592000,-75.0012
1468,1596000,-79.823
1471,1600000,-86.4925
1476,1604000,-104.1297
1480,1608000,-88.071
1483,1612000,-101.8979
1486,1616000,-73.6637
1490,1620000,-83.8578
1495,1624000,-110.245
1499,1628000,-106.8414
1504,1632000,-98.6203
1506,1636000,-5.9248
1510,1640000,-93.1257
1513,1644000,-83.5377
1517,1648000,-82.2915
1521,1652000,-63.7124
1525,1656000,-88.9729
1529,1660000,-82.7912
1531,1664000,-36.9599
1536,1668000,-76.6351
1542,1672000,-91.2213
1544,1676000,-133.5294
1547,1680000,-47.387
1551,1684000,-82.5161
1553,1688000,-79.9166
1558,1692000,-69.3925
